id, symptoms, diagnosis1, diagnosis2, diagnosis3, diagnosis4, diagnosis5
0,"shiny skin;Cold hands;Tight joint;Tender muscles", "Juvenile Idiopathic Arthritis (JIA)", "Dermatomyositis", "Systemic Lupus Erythematosus (SLE)", "Mixed Connective Tissue Disease (MCTD)", "Scleroderma", 
1,"Hard skin;Musculoskeletal pain", "Juvenile Idiopathic Arthritis (JIA)", "Scleroderma", "Dermatomyositis", "Morphea", "Lupus Erythematosus", 
2,"shiny skin;Cold hands;Tight joint;Musculoskeletal pain", "Juvenile Idiopathic Arthritis (JIA)", "Systemic Lupus Erythematosus (SLE)", "Raynaud's Phenomenon", "Fibromyalgia", "Scleroderma", 
3,"Tender muscles", "Viral Myositis", "Growing Pains", "Juvenile Idiopathic Arthritis", "Fibromyalgia", "Vitamin D Deficiency", 
4,"Cold hands;Pain", "Raynaud's phenomenon", "Anemia", "Rheumatoid arthritis", "Hypothyroidism", "Peripheral artery disease", 
5,"Tight joint", "Juvenile Idiopathic Arthritis (JIA)", "Trauma or Injury", "Growing Pains", "Hypermobility Syndrome", "Infection", 
6,"Hard skin;Fingers turning blue;Tight fingers", "Raynaud's phenomenon", "Scleroderma", "Frostbite", "Peripheral artery disease (PAD)", "Buerger's disease", 
7,"Hard skin;Cold hands", "Raynaud's Phenomenon", "Scleroderma", "Frostbite", "Peripheral Artery Disease (PAD)", "Hypothyroidism", 
8,"", "Celiac Disease", "Inflammatory Bowel Disease (IBD)", "Lactose Intolerance", "Parasitic Infection", "Cystic Fibrosis", 
9,"Hard skin;Tight fingers", "Scleroderma", "Mixed Connective Tissue Disease (MCTD)", "Systemic Lupus Erythematosus (SLE)", "Morphea", "Eosinophilic Fasciitis", 
10,"Hard skin;sore muscles", "Dermatomyositis", "Juvenile Idiopathic Arthritis", "Scleroderma", "Fibromyalgia", "Vitamin D Deficiency", 
11,"Cold hands;Pain", "Raynaud's phenomenon", "Anemia", "Rheumatoid arthritis", "Hypothyroidism", "Peripheral artery disease", 
12,"shiny skin;Tight fingers", "Scleroderma", "Mixed Connective Tissue Disease (MCTD)", "Systemic Lupus Erythematosus (SLE)", "Dermatomyositis", "Nephrogenic Systemic Fibrosis", 
13,"Hard skin;Cold hands;Tight fingers;Musculoskeletal pain;Bumps under skin;Food gets stuck in throat", "Systemic Sclerosis (Scleroderma)", "Mixed Connective Tissue Disease (MCTD)", "Dermatomyositis", "Eosinophilic Esophagitis", "Juvenile Idiopathic Arthritis", 
14,"Bumps under skin", "Lipoma", "Cyst", "Insect Bite or Sting", "Wart", "Abscess", 
15,"Hard skin;Fingers turnng white;Tight fingers", "Raynaud's phenomenon", "Scleroderma", "Frostbite", "Chilblains", "Peripheral artery disease", 
16,"Hard skin;Fingers turning blue;Tight fingers;Musculoskeletal pain;Muscle pain", "Raynaud's phenomenon", "Scleroderma", "Juvenile idiopathic arthritis", "Chilblains", "Fibromyalgia", 
17,"Hard skin;Cold hands;Tight fingers", "Raynaud's phenomenon", "Scleroderma", "Frostbite", "Chilblains", "Peripheral artery disease", 
18,"shiny skin;Cold hands", "Hypothyroidism", "Poor Circulation", "Anemia", "Diabetes", "Malnutrition", 
19,"Hard skin;Tight fingers;Food gets stuck in throat", "Scleroderma", "Eosinophilic Esophagitis", "Mixed Connective Tissue Disease", "Systemic Lupus Erythematosus", "Dermatomyositis", 
20,"Hard skin;Fingers turning blue;Tight fingers", "Raynaud's phenomenon", "Scleroderma", "Frostbite", "Peripheral artery disease (PAD)", "Buerger's disease", 
21,"shiny skin;Fingers turnng white;Tight joint", "Juvenile Idiopathic Arthritis (JIA)", "Systemic Lupus Erythematosus (SLE)", "Scleroderma", "Mixed Connective Tissue Disease (MCTD)", "Dermatomyositis", 
22,"Hard skin;Cold hands;Trouble swallowing liquids", "Scleroderma", "Esophageal Stricture", "Raynaud's Phenomenon", "Dermatomyositis", "Hypothyroidism", 
23,"shiny skin;Fingers turning blue;Tight fingers;Musculoskeletal pain", "Systemic Scleroderma (Diffuse Cutaneous Systemic Sclerosis)", "Raynaud's Phenomenon", "Mixed Connective Tissue Disease (MCTD)", "Juvenile Idiopathic Arthritis (JIA)", "Dermatomyositis", 
24,"shiny skin;Fingers turnng white;Pain", "Raynaud's Phenomenon", "Scleroderma", "Lupus", "Frostbite", "Complex Regional Pain Syndrome (CRPS)", 
25,"Hard skin;Fingers turning blue;Tight fingers", "Raynaud's phenomenon", "Scleroderma", "Frostbite", "Peripheral artery disease (PAD)", "Buerger's disease", 
26,"Cold hands;Tight fingers;Musculoskeletal pain", "Raynaud's phenomenon", "Juvenile idiopathic arthritis", "Connective tissue disorder", "Peripheral artery disease", "Vitamin deficiency", 
27,"Pain;Tender muscles", "Growing Pains", "Viral Myositis", "Juvenile Idiopathic Arthritis", "Fibromyalgia", "Vitamin D Deficiency", 
28,"shiny skin;Fingers turning blue", "Raynaud's phenomenon", "Frostbite", "Acrocyanosis", "Connective tissue disorder", "Peripheral artery disease", 
29,"shiny skin;Pain", "Juvenile Idiopathic Arthritis (JIA)", "Systemic Lupus Erythematosus (SLE)", "Dermatomyositis", "Celiac Disease", "Juvenile Rheumatoid Arthritis (JRA)", 
30,"Hard skin;Fingers turnng white;Muscle pain", "Raynaud's phenomenon", "Scleroderma", "Juvenile dermatomyositis", "Mixed connective tissue disease", "Fibromyalgia", 
31,"shiny skin;Tight fingers", "Scleroderma", "Mixed Connective Tissue Disease (MCTD)", "Systemic Lupus Erythematosus (SLE)", "Dermatomyositis", "Nephrogenic Systemic Fibrosis", 
32,"Hard skin;Fingers turnng white;Trouble swallowing liquids", "Scleroderma", "Esophageal stricture", "Mixed connective tissue disease (MCTD)", "Dermatomyositis", "Systemic lupus erythematosus (SLE)", 
33,"Hard skin;Trouble swallowing liquids;shortness of breath with exertion", "Eosinophilic Esophagitis", "Asthma", "Gastroesophageal Reflux Disease (GERD)", "Cystic Fibrosis", "Achalasia", 
34,"shiny skin;Muscle pain;Trouble swallowing", "Dermatomyositis", "Juvenile Idiopathic Arthritis", "Polymyositis", "Scleroderma", "Muscular Dystrophy", 
35,"Fingers turnng white;Tight joint;Pills get stuck in throat ", "Raynaud's Phenomenon", "Juvenile Idiopathic Arthritis", "Esophageal Stricture", "Scleroderma", "Eosinophilic Esophagitis", 
36,"shiny skin;Fingers turning blue;Tight joint;Muscle pain", "Juvenile Dermatomyositis", "Raynaud's Phenomenon", "Juvenile Idiopathic Arthritis", "Vitamin D Deficiency", "Growing Pains", 
37,"shiny skin;Fingers turnng white;Tight fingers;Tender muscles", "Raynaud's phenomenon", "Juvenile dermatomyositis", "Scleroderma", "Fibromyalgia", "Vitamin D deficiency", 
38,"shiny skin;Fingers turning blue;Tight fingers;Musculoskeletal pain;Bumps under skin", "Systemic Scleroderma (Diffuse Cutaneous Systemic Sclerosis)", "Mixed Connective Tissue Disease (MCTD)", "Juvenile Dermatomyositis", "Juvenile Idiopathic Arthritis", "Raynaud's Phenomenon", 
39,"Tight fingers;Bumps under skin", "Juvenile Idiopathic Arthritis (JIA)", "Scleroderma", "Dermatomyositis", "Lupus Erythematosus", "Granuloma Annulare", 
